Roll,Pitch,Direction
100,91.0,Right
99,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
100,91.0,Right
99,91.0,Right
99,91.0,Right
99,91.0,Right
99,90.0,Right
100,91.0,Right
99,91.0,Right
99,90.0,Right
100,90.0,Right
100,90.0,Right
99,91.0,Right
99,90.0,Right
100,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
100,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,91.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,Right
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
99,90.0,
100,90.0,
100,90.0,
99,90.0,
99,90.0,
100,90.0,
99,90.0,
99,90.0,
100,91.0,
98,92.0,
99,90.0,
98,92.0,
99,92.0,
102,92.0,
103,92.0,
102,92.0,
99,92.0,
98,94.0,
98,94.0,
100,94.0,
101,93.0,
100,96.0,
99,96.0,
98,97.0,
98,97.0,
97,98.0,
98,98.0,
98,98.0,
98,98.0,
99,98.0,
100,98.0,
99,99.0,
100,100.0,
102,100.0,
101,100.0,
100,100.0,
100,100.0,
100,100.0,
100,101.0,
100,101.0,
102,101.0,
103,101.0,
102,101.0,
102,101.0,
103,101.0,
103,101.0,
104,100.0,
104,100.0,
104,101.0,
106,100.0,
106,100.0,
105,100.0,
106,100.0,
106,100.0,
106,100.0,
106,100.0,
107,100.0,
108,100.0,
110,99.0,
110,99.0,
110,99.0,
110,99.0,
110,99.0,
109,99.0,
110,99.0,
111,99.0,
110,99.0,
110,99.0,
113,99.0,
112,99.0,
113,99.0,
113,99.0,
113,99.0,
113,99.0,
113,99.0,
113,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
115,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
115,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
115,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
115,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
114,99.0,
113,99.0,
113,99.0,
114,99.0,
111,99.0,
112,99.0,
111,100.0,
110,100.0,
110,100.0,
111,100.0,
110,100.0,
109,100.0,
107,100.0,
105,100.0,
104,100.0,
105,99.0,
105,99.0,
106,99.0,
104,100.0,
103,100.0,
103,99.0,
102,99.0,
103,100.0,
102,100.0,
100,101.0,
101,100.0,
102,101.0,
104,102.0,
103,102.0,
102,103.0,
101,103.0,
103,106.0,
101,106.0,
100,106.0,
100,106.0,
101,106.0,
101,107.0,
101,106.0,
100,106.0,
100,107.0,
100,108.0,
100,110.0,
101,109.0,
99,109.0,
99,109.0,
99,110.0,
99,110.0,
100,110.0,
100,109.0,
100,109.0,
100,110.0,
101,110.0,
100,109.0,
99,109.0,
100,110.0,
100,109.0,
100,109.0,
99,110.0,
99,110.0,
100,110.0,
99,110.0,
100,109.0,
100,109.0,
99,110.0,
100,109.0,
100,109.0,
100,110.0,
100,110.0,
100,110.0,
100,109.0,
100,109.0,
100,109.0,
100,110.0,
99,110.0,
100,109.0,
100,110.0,
100,109.0,
101,109.0,
99,110.0,
100,109.0,
100,110.0,
100,109.0,
100,109.0,
100,109.0,
100,110.0,
100,110.0,
100,109.0,
101,109.0,
100,110.0,
100,110.0,
100,109.0,
101,109.0,
100,110.0,
100,109.0,
100,109.0,
100,109.0,
100,109.0,
100,109.0,
100,110.0,
101,109.0,
100,109.0,
100,110.0,
100,109.0,
100,109.0,
100,109.0,
100,110.0,
100,109.0,
100,109.0,
100,109.0,
100,109.0,
100,109.0,
100,109.0,
100,109.0,
